id,query,expected_document,expected_marker,rank,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,citation_exact_at_1,distractor_rejected_at_5,latency_ms,top1_document,top1_similarity,top5_documents
Q01,Which historical DFMEA describes front rail crash folding outside the intended crush zone?,historical_dfmea_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,0.136,historical_dfmea_front_rail_alpha.csv,0.4534,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q02,What historical failure mode has ID AFR-FM-001 and a soft rail section near the shotgun interface?,historical_dfmea_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,0.086,historical_dfmea_front_rail_alpha.csv,0.4404,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv
Q03,Which DFMEA action adds an internal bulkhead and increases weld density at the shotgun node?,historical_dfmea_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,0,1,0.067,historical_dfmea_front_rail_alpha.csv,0.267,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q04,Which DVP&R record specifies frontal crash CAE correlation and a full vehicle barrier test?,historical_dvpr_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,0.063,historical_dvpr_front_rail_alpha.csv,0.4234,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q05,What validation test is AFR-TEST-001 and what validation level does it use?,historical_dvpr_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,0,1,0.059,historical_dvpr_front_rail_alpha.csv,0.3616,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md
Q06,Where is the lesson about an Alpha front rail lacking an internal bulkhead?,lessons_learned_front_rail_and_underbody.md,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,0.074,lessons_learned_front_rail_and_underbody.md,0.2869,lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | weld_standard_ws_join_017.md | corrosion_standard_ec_biw_041.md
Q07,Which lesson requires CAE correlation and physical crash teardown before closing off-target folding?,lessons_learned_front_rail_and_underbody.md,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,0.059,lessons_learned_front_rail_and_underbody.md,0.3362,lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md
Q08,What weld standard sets 35 mm or tighter pitch for a high-strength front rail fatigue hot spot?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,0.073,weld_standard_ws_join_017.md,0.5471,weld_standard_ws_join_017.md | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q09,Which standard says static strength alone is insufficient for structural BIW weld pitch?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,0.062,weld_standard_ws_join_017.md,0.4058,weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md
Q10,Where is the 5.5 mm minimum nugget size for front rail flange durability validation defined?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,0.071,weld_standard_ws_join_017.md,0.4886,weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv
Q11,Which document requires weld gun access review before tooling release?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,0.055,weld_standard_ws_join_017.md,0.2699,weld_standard_ws_join_017.md | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q12,Which historical DFMEA links rail flange spot weld fatigue to pitch selected from static strength?,historical_dfmea_front_rail_alpha.csv,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,0.06,historical_dfmea_front_rail_alpha.csv,0.4344,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | weld_standard_ws_join_017.md
