id,query,expected_document,expected_marker,rank,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,citation_exact_at_1,distractor_rejected_at_5,latency_ms,top1_document,top1_similarity,top5_documents
Q01,Which historical DFMEA describes front rail crash folding outside the intended crush zone?,historical_dfmea_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,7.648,historical_dfmea_front_rail_alpha.csv,0.6514,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q02,What historical failure mode has ID AFR-FM-001 and a soft rail section near the shotgun interface?,historical_dfmea_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,7.354,historical_dfmea_front_rail_alpha.csv,0.644,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv
Q03,Which DFMEA action adds an internal bulkhead and increases weld density at the shotgun node?,historical_dfmea_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,8.188,historical_dfmea_front_rail_alpha.csv,0.5546,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q04,Which DVP&R record specifies frontal crash CAE correlation and a full vehicle barrier test?,historical_dvpr_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,8.314,historical_dvpr_front_rail_alpha.csv,0.6994,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q05,What validation test is AFR-TEST-001 and what validation level does it use?,historical_dvpr_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,7.773,historical_dvpr_front_rail_alpha.csv,0.6325,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q06,Where is the lesson about an Alpha front rail lacking an internal bulkhead?,lessons_learned_front_rail_and_underbody.md,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,7.832,lessons_learned_front_rail_and_underbody.md,0.5142,lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q07,Which lesson requires CAE correlation and physical crash teardown before closing off-target folding?,lessons_learned_front_rail_and_underbody.md,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,7.331,lessons_learned_front_rail_and_underbody.md,0.483,lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | cae_report_roof_rail_beta.txt | historical_dfmea_front_rail_alpha.csv
Q08,What weld standard sets 35 mm or tighter pitch for a high-strength front rail fatigue hot spot?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,7.412,weld_standard_ws_join_017.md,0.6911,weld_standard_ws_join_017.md | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q09,Which standard says static strength alone is insufficient for structural BIW weld pitch?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,7.345,weld_standard_ws_join_017.md,0.6405,weld_standard_ws_join_017.md | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv
Q10,Where is the 5.5 mm minimum nugget size for front rail flange durability validation defined?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,7.366,weld_standard_ws_join_017.md,0.6326,weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q11,Which document requires weld gun access review before tooling release?,weld_standard_ws_join_017.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,7.191,weld_standard_ws_join_017.md,0.4884,weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
